ID_Venta;Fecha;ID_Producto;ID_Vendedor;Cantidad;Precio_Unitario;Costo_Unitario
VT0497;14/01/2026;P012;V001;11;0.38;0.42
VT0498;09/02/2025;P028;V027;8;29.88;19.09
VT0499;04/10/2025;P002;V015;2;1.21;0.88
VT0500;30/11/2025;P014;V038;3;1.11;0.47
VT0501;15/07/2023;P017;V004;19;3.00;1.46
VT0502;09/06/2025;P022;V026;11;2.86;1.64
VT0503;30/10/2024;P011;V050;5;1.18;0.51
VT0504;12/04/2026;P004;V008;14;4.09;2.43
VT0505;02/01/2026;P012;V008;9;0.98;0.44
VT0506;05/07/2023;P006;V003;20;1.49;0.96
VT0507;16/03/2024;P027;V026;12;1.36;0.65
VT0508;17/11/2025;P002;V026;1;1.24;0.84
VT0509;15/07/2025;P018;V009;26;1.48;0.74
VT0510;06/09/2023;P001;V026;7;1.17;0.67
VT0511;01/02/2025;P022;V005;9;3.04;1.57
VT0512;14/02/2023;P003;V022;3;1.05;0.59
VT0513;08/09/2023;P002;V047;14;1.20;0.87
VT0514;19/03/2025;P016;V012;7;2.00;0.86
VT0515;17/07/2024;P009;V016;20;3.50;2.24
VT0516;27/08/2024;P016;V025;9;1.96;0.91
VT0517;09/10/2023;P014;V035;21;1.19;0.44
VT0518;09/02/2023;P013;V023;16;1.81;0.85
VT0519;04/03/2026;P017;V015;20;1.35;1.50
VT0520;02/03/2023;P029;V034;16;23.81;15.00
VT0521;02/01/2025;P025;V043;8;7.09;4.36
VT0522;08/05/2024;P009;V015;25;3.85;2.27
VT0523;25/03/2026;P028;V012;28;30.25;19.75
VT0524;27/12/2023;P008;V038;30;1.39;0.73
VT0525;27/02/2023;P023;V013;19;8.19;4.75
VT0526;05/10/2025;P018;V039;8;1.54;0.70
VT0527;24/03/2024;P001;V009;7;1.05;0.72
VT0528;28/11/2024;P023;V002;2;8.03;4.39
VT0529;30/10/2023;P019;V024;17;0.73;0.26
VT0530;29/05/2023;P012;V020;11;1.05;0.42
VT0531;22/10/2024;P005;V032;21;1.32;0.82
VT0532;11/10/2024;P006;V023;20;1.55;0.95
VT0533;02/04/2024;P022;V019;23;2.83;1.56
VT0534;18/09/2023;P006;V050;13;1.64;0.95
VT0535;08/03/2026;P002;V015;20;1.25;0.78
VT0536;04/03/2026;P004;V023;8;4.08;2.73
VT0537;16/10/2024;P006;V041;22;1.64;0.94
VT0538;18/11/2024;P015;V017;12;3.14;1.71
VT0539;10/08/2023;P024;V027;6;6.55;3.61
VT0540;06/10/2025;P029;V037;16;24.77;14.10
VT0541;06/04/2024;P006;V021;1;0.83;0.92
VT0542;18/06/2024;P004;V005;24;4.10;2.40
VT0543;25/01/2026;P029;V031;29;24.02;15.35
VT0544;05/03/2023;P014;V004;6;1.07;0.49
VT0545;27/07/2023;P011;V047;24;1.17;0.49
VT0546;11/01/2026;P009;V037;13;3.58;2.31
VT0547;30/01/2026;P027;V019;3;0.55;0.61
VT0548;14/05/2026;P016;V006;10;1.81;0.88
VT0549;27/08/2025;P028;V043;29;32.03;17.41
VT0550;26/06/2024;P003;V024;13;1.01;0.63
VT0551;18/01/2024;P015;V018;27;3.25;1.72
VT0552;01/03/2026;P002;V023;22;1.32;0.78
VT0553;13/01/2026;P014;V025;27;1.14;0.49
VT0554;06/12/2025;P014;V016;19;1.16;0.49
VT0555;02/09/2025;P010;V037;17;1.74;0.87
VT0556;24/11/2025;P026;V029;25;1.76;0.73
VT0557;21/12/2023;P006;V006;14;1.61;0.99
VT0558;10/06/2025;P007;V021;9;1.46;0.93
VT0559;18/05/2023;P003;V034;9;1.01;0.60
VT0560;27/07/2025;P030;V027;17;90.78;59.46
VT0561;19/08/2023;P014;V007;4;1.14;0.44
VT0562;26/02/2026;P025;V027;12;7.15;4.05
VT0563;24/06/2024;P013;V018;6;1.86;0.84
VT0564;05/04/2025;P005;V022;13;1.32;0.78
VT0565;01/05/2024;P002;V022;1;1.36;0.85
VT0566;12/09/2024;P010;V015;4;1.64;0.89
VT0567;03/10/2023;P010;V047;9;1.63;0.99
VT0568;03/05/2025;P020;V027;27;1.27;0.63
VT0569;19/09/2025;P025;V011;26;7.24;4.32
VT0570;15/05/2023;P010;V037;17;1.62;0.95
VT0571;01/03/2023;P006;V003;8;1.61;0.88
VT0572;23/07/2025;P002;V030;27;1.32;0.87
VT0573;31/10/2025;P013;V032;12;0.76;0.84
VT0574;01/05/2026;P015;V023;12;3.46;1.76
VT0575;01/12/2023;P027;V002;10;1.49;0.65
VT0576;02/03/2025;P002;V015;28;1.29;0.78
VT0577;06/04/2024;P022;V050;28;3.04;1.47
VT0578;19/01/2023;P016;V015;1;1.99;0.98
VT0579;31/05/2024;P020;V018;21;1.29;0.64
VT0580;17/05/2025;P029;V020;15;24.06;14.09
VT0581;02/12/2025;P027;V024;22;0.57;0.63
VT0582;23/02/2026;P021;V005;16;2.08;1.14
VT0583;19/11/2024;P009;V042;23;3.89;2.30
VT0584;03/09/2024;P007;V039;26;1.49;0.83
VT0585;07/04/2025;P022;V019;16;1.35;1.50
VT0586;15/06/2024;P030;V037;23;50.13;55.70
VT0587;24/01/2024;P011;V031;26;1.18;0.53
VT0588;04/01/2025;P017;V012;18;2.73;1.49
VT0589;24/08/2024;P004;V049;18;4.46;2.55
VT0590;10/01/2024;P022;V048;8;3.04;1.63
VT0591;20/09/2024;P014;V030;10;1.10;0.48
VT0592;30/08/2023;P016;V005;20;1.99;0.86
VT0593;25/08/2025;P029;V020;17;23.23;13.71
VT0594;26/04/2025;P002;V027;11;1.22;0.86
VT0595;12/03/2026;P029;V012;23;24.45;15.20
VT0596;15/06/2023;P016;V001;2;2.09;0.90
VT0597;14/07/2025;P009;V032;6;3.84;2.16
VT0598;30/06/2023;P005;V025;16;1.31;0.78
VT0599;10/01/2023;P002;V021;29;1.32;0.82
VT0600;23/12/2025;P007;V045;8;1.33;0.81
VT0601;06/12/2024;P010;V005;6;1.61;0.87
VT0602;04/04/2023;P010;V022;17;1.63;0.98
VT0603;07/06/2025;P029;V023;16;23.28;14.74
VT0604;21/01/2024;P006;V015;8;1.63;0.98
VT0605;26/09/2023;P007;V046;12;1.45;0.90
VT0606;18/03/2023;P013;V039;2;1.78;0.87
VT0607;09/04/2023;P022;V027;4;1.30;1.45
VT0608;28/06/2025;P013;V045;7;1.78;0.77
VT0609;20/01/2023;P010;V039;20;1.54;0.91
VT0610;08/10/2023;P014;V019;4;1.06;0.48
VT0611;22/08/2023;P026;V034;9;1.57;0.68
VT0612;18/02/2024;P012;V014;16;0.38;0.42
VT0613;11/09/2025;P011;V037;4;1.14;0.49
VT0614;08/10/2025;P005;V007;24;1.33;0.82
VT0615;08/06/2024;P021;V004;15;2.31;1.08
VT0616;24/07/2023;P027;V044;26;1.34;0.59
VT0617;02/10/2024;P014;V001;2;1.06;0.48
VT0618;11/10/2023;P022;V018;20;2.90;1.57
VT0619;10/07/2023;P012;V018;15;0.98;0.43
VT0620;28/02/2025;P023;V011;26;8.02;4.85
VT0621;20/08/2023;P005;V007;6;1.20;0.79
VT0622;02/05/2025;P030;V040;6;90.98;57.12
VT0623;16/02/2025;P025;V047;27;6.87;4.22
VT0624;25/09/2023;P016;V005;2;1.84;0.98
VT0625;19/06/2024;P021;V048;25;2.22;1.10
VT0626;26/03/2026;P024;V034;11;7.13;3.93
VT0627;07/12/2025;P023;V031;8;7.23;4.75
VT0628;09/12/2024;P022;V040;18;2.92;1.58
VT0629;22/04/2023;P001;V032;28;1.07;0.73
VT0630;05/12/2023;P003;V004;9;1.00;0.64
VT0631;04/11/2025;P008;V030;3;1.31;0.72
VT0632;28/06/2025;P026;V008;11;1.54;0.73
VT0633;15/10/2025;P024;V036;18;6.28;3.98
VT0634;01/01/2023;P027;V033;10;1.46;0.58
VT0635;25/02/2026;P007;V004;27;1.43;0.89
VT0636;01/04/2024;P028;V046;16;31.02;18.33
VT0637;14/01/2025;P023;V022;1;7.23;4.58
VT0638;28/12/2024;P027;V045;12;1.50;0.63
VT0639;06/08/2023;P002;V047;24;1.28;0.87
VT0640;18/04/2025;P004;V026;28;4.11;2.47
VT0641;17/03/2024;P015;V027;25;3.13;1.93
VT0642;06/04/2023;P030;V029;29;89.32;57.47
VT0643;25/07/2025;P022;V034;1;2.97;1.56
VT0644;10/04/2023;P018;V050;17;1.61;0.76
VT0645;29/12/2023;P023;V043;13;7.95;4.67
VT0646;14/05/2026;P020;V045;20;1.33;0.65
VT0647;23/05/2024;P009;V009;26;3.61;2.22
VT0648;10/10/2023;P014;V045;27;1.19;0.47
VT0649;26/01/2026;P028;V013;7;31.82;17.95
VT0650;05/03/2024;P020;V046;5;1.37;0.63
VT0651;31/12/2023;P017;V023;25;2.93;1.55
VT0652;25/02/2026;P016;V048;22;2.07;0.93
VT0653;29/12/2025;P010;V002;4;0.87;0.97
VT0654;19/02/2025;P005;V011;26;1.20;0.72
VT0655;09/08/2024;P022;V014;10;3.12;1.48
VT0656;13/01/2026;P002;V048;22;1.27;0.80
VT0657;24/02/2026;P028;V045;17;31.41;17.71
VT0658;12/08/2024;P023;V044;26;8.17;4.72
VT0659;02/10/2024;P018;V050;28;1.59;0.67
VT0660;26/06/2025;P027;V049;12;1.46;0.59
VT0661;20/04/2026;P018;V019;7;1.47;0.74
VT0662;08/07/2025;P006;V033;24;1.44;0.99
VT0663;02/09/2023;P013;V038;6;1.79;0.76
VT0664;06/06/2024;P001;V021;5;1.16;0.70
VT0665;07/05/2026;P002;V032;10;1.30;0.85
VT0666;18/03/2026;P018;V012;8;1.60;0.70
VT0667;02/12/2025;P003;V006;13;0.97;0.64
VT0668;16/12/2024;P008;V014;10;1.36;0.76
VT0669;22/12/2025;P016;V008;1;2.04;0.99
VT0670;09/12/2024;P015;V003;8;3.35;1.77
VT0671;19/10/2024;P013;V047;18;1.97;0.87
VT0672;02/08/2024;P001;V033;26;1.18;0.76
VT0673;01/07/2025;P016;V006;17;2.06;0.86
VT0674;16/07/2023;P006;V005;21;1.60;0.99
VT0675;07/03/2024;P022;V007;27;2.85;1.57
VT0676;26/02/2024;P018;V042;14;1.62;0.75
VT0677;28/05/2023;P024;V006;2;6.20;4.00
VT0678;31/05/2023;P002;V015;27;1.23;0.78
VT0679;13/06/2024;P014;V025;1;1.15;0.45
VT0680;31/08/2023;P018;V038;24;1.59;0.67
VT0681;04/04/2023;P023;V044;10;7.53;4.85
VT0682;09/09/2024;P020;V043;13;1.38;0.58
VT0683;05/03/2023;P016;V035;26;1.87;0.88
VT0684;27/08/2024;P021;V047;26;2.21;1.07
VT0685;03/02/2025;P001;V037;1;1.14;0.72
VT0686;06/05/2026;P013;V048;24;1.97;0.82
VT0687;05/12/2024;P007;V012;6;1.47;0.86
VT0688;28/03/2024;P020;V037;26;1.27;0.65
VT0689;22/04/2023;P028;V036;21;32.96;19.13
VT0690;30/05/2023;P010;V032;19;1.58;0.95
VT0691;08/11/2024;P012;V005;20;1.05;0.39
VT0692;01/02/2024;P011;V038;23;1.20;0.51
VT0693;09/11/2023;P019;V001;6;0.80;0.26
VT0694;03/10/2024;P008;V024;9;1.37;0.75
VT0695;03/10/2023;P022;V050;12;3.14;1.59
VT0696;17/09/2024;P016;V018;27;1.86;0.93
VT0697;14/10/2023;P029;V047;3;23.75;14.43
VT0698;04/06/2023;P029;V038;19;12.01;13.34
VT0699;09/04/2025;P025;V035;18;7.82;4.36
VT0700;24/08/2025;P021;V038;25;2.11;1.17
VT0701;18/08/2024;P005;V001;17;1.28;0.76
VT0702;04/05/2024;P028;V033;25;32.92;19.70
VT0703;15/10/2023;P015;V010;28;3.31;1.75
VT0704;17/09/2025;P012;V024;9;1.06;0.38
VT0705;24/04/2024;P002;V031;13;1.28;0.84
VT0706;20/07/2025;P029;V034;23;26.33;13.40
VT0707;14/07/2024;P027;V042;13;1.45;0.64
VT0708;14/02/2025;P012;V025;9;1.08;0.42
VT0709;01/04/2024;P017;V031;26;3.00;1.52
VT0710;22/05/2026;P001;V033;3;1.07;0.72
VT0711;29/07/2024;P007;V008;27;1.36;0.83
VT0712;16/04/2024;P014;V031;16;1.16;0.48
VT0713;07/03/2024;P019;V009;2;0.22;0.24
VT0714;20/03/2026;P019;V010;19;0.22;0.24
VT0715;25/04/2023;P006;V037;20;1.47;0.89
VT0716;08/02/2023;P029;V014;3;25.18;14.81
VT0717;08/07/2025;P020;V027;27;1.40;0.66
VT0718;15/05/2026;P005;V033;22;1.34;0.80
VT0719;25/06/2024;P006;V005;19;1.50;0.95
VT0720;15/04/2024;P013;V033;28;1.74;0.81
VT0721;09/05/2025;P027;V039;20;1.35;0.58
VT0722;21/03/2023;P029;V043;16;24.61;14.95
VT0723;24/09/2023;P029;V044;25;25.78;14.57
VT0724;02/06/2025;P017;V015;14;3.03;1.52
VT0725;14/09/2025;P026;V049;30;1.60;0.75
VT0726;25/03/2026;P004;V006;30;4.15;2.53
VT0727;03/08/2024;P020;V048;23;1.31;0.65
VT0728;15/01/2023;P019;V045;7;0.77;0.26
VT0729;08/10/2024;P014;V017;9;1.07;0.45
VT0730;02/01/2026;P014;V049;13;1.15;0.47
VT0731;22/02/2024;P014;V036;18;1.14;0.46
VT0732;17/09/2025;P009;V048;13;3.73;2.42
VT0733;10/10/2023;P028;V045;26;29.04;19.43
VT0734;28/11/2023;P004;V040;18;4.24;2.46
VT0735;17/04/2023;P006;V010;27;1.57;0.91
VT0736;23/08/2025;P030;V006;12;81.87;57.20
VT0737;01/06/2026;P002;V034;21;1.36;0.85
VT0738;09/08/2024;P023;V041;6;7.19;4.93
VT0739;09/10/2025;P015;V019;17;3.45;1.71
VT0740;03/02/2024;P002;V011;20;1.28;0.85
VT0741;15/03/2023;P012;V050;9;0.95;0.39
VT0742;29/03/2025;P012;V048;1;1.01;0.42
VT0743;21/05/2023;P030;V038;30;84.38;52.99
VT0744;13/12/2024;P012;V030;7;0.99;0.44
VT0745;07/04/2025;P019;V005;18;0.73;0.24
VT0746;27/10/2025;P010;V035;9;1.55;0.90
VT0747;23/03/2026;P009;V016;25;3.94;2.32
VT0748;26/11/2024;P025;V031;1;7.34;4.28
VT0749;27/08/2023;P009;V045;22;3.76;2.11
VT0750;15/04/2024;P026;V045;1;1.75;0.70
VT0751;23/06/2024;P008;V005;11;1.31;0.70
VT0752;09/02/2026;P030;V018;19;84.75;53.72
VT0753;10/01/2024;P024;V016;7;7.06;4.00
VT0754;10/05/2024;P028;V040;27;29.53;17.82
VT0755;30/12/2024;P005;V032;22;1.21;0.80
VT0756;14/01/2023;P025;V040;12;7.87;4.53
VT0757;07/10/2024;P016;V032;9;2.06;0.98
VT0758;10/01/2024;P025;V009;19;7.14;4.57
VT0759;21/04/2023;P017;V023;17;2.86;1.60
VT0760;17/03/2025;P028;V034;23;29.29;18.95
VT0761;31/07/2025;P011;V007;19;1.14;0.53
VT0762;28/10/2024;P012;V018;8;0.99;0.42
VT0763;23/08/2025;P020;V045;14;1.27;0.60
VT0764;01/02/2025;P012;V037;5;0.99;0.43
VT0765;13/04/2024;P027;V025;14;1.39;0.58
VT0766;06/02/2024;P005;V012;1;1.33;0.80
VT0767;13/05/2025;P016;V047;18;2.06;0.87
VT0768;08/10/2024;P026;V026;2;1.58;0.72
VT0769;22/07/2023;P023;V041;27;7.37;4.39
VT0770;17/07/2023;P015;V017;18;3.16;1.91
VT0771;05/12/2024;P001;V013;20;1.10;0.71
VT0772;27/03/2026;P019;V023;10;0.77;0.26
VT0773;27/10/2024;P022;V025;3;3.09;1.54
VT0774;09/08/2024;P015;V022;26;3.11;1.88
VT0775;13/05/2025;P021;V011;3;2.12;1.15
VT0776;04/12/2024;P008;V042;20;1.36;0.70
VT0777;20/03/2025;P009;V038;24;3.84;2.38
VT0778;02/12/2025;P015;V016;24;1.64;1.82
VT0779;30/05/2024;P024;V007;4;6.25;4.01
VT0780;11/05/2023;P030;V034;13;53.55;59.50
VT0781;20/06/2023;P004;V025;29;4.09;2.47
VT0782;25/09/2024;P008;V034;5;1.29;0.69
VT0783;16/12/2023;P001;V031;28;1.10;0.67
VT0784;14/08/2025;P028;V035;23;29.73;18.56
VT0785;29/12/2023;P019;V028;19;0.78;0.26
VT0786;08/12/2025;P021;V015;18;2.09;1.15
VT0787;03/07/2023;P015;V001;1;3.24;1.79
VT0788;07/12/2025;P027;V001;18;1.36;0.64
VT0789;04/10/2025;P025;V039;10;6.85;4.29
VT0790;18/04/2024;P026;V028;18;1.61;0.67
VT0791;19/03/2025;P008;V015;13;1.38;0.68
VT0792;22/06/2024;P003;V040;30;0.99;0.61
VT0793;10/07/2024;P010;V005;7;1.65;0.94
VT0794;09/01/2024;P005;V045;9;1.31;0.75
VT0795;04/10/2025;P007;V012;1;1.36;0.85
VT0796;29/07/2023;P010;V006;8;1.69;0.89
VT0797;05/11/2023;P001;V032;26;1.10;0.72
VT0798;30/01/2025;P015;V010;25;3.06;1.90
VT0799;25/04/2023;P009;V017;7;3.46;2.35
VT0800;20/02/2025;P027;V050;13;1.53;0.57
VT0801;26/06/2025;P008;V007;25;1.24;0.74
VT0802;03/12/2025;P022;V021;10;2.96;1.65
VT0803;21/11/2023;P021;V017;4;2.23;1.17
VT0804;12/09/2025;P021;V014;22;2.11;1.09
VT0805;20/08/2023;P008;V038;9;1.30;0.73
VT0806;03/09/2023;P013;V045;26;0.77;0.85
VT0807;31/08/2025;P023;V032;6;7.54;4.68
VT0808;07/07/2023;P022;V004;21;3.16;1.56
VT0809;03/05/2023;P012;V032;5;1.06;0.42
VT0810;21/04/2024;P011;V029;26;1.28;0.55
VT0811;31/01/2024;P001;V003;29;1.10;0.74
VT0812;20/09/2025;P023;V037;7;7.46;4.57
VT0813;18/01/2024;P018;V039;27;1.59;0.70
VT0814;09/02/2026;P006;V035;9;1.46;0.86
VT0815;21/01/2025;P015;V002;6;3.35;1.71
VT0816;15/01/2025;P025;V025;18;7.19;4.38
VT0817;24/01/2024;P017;V021;10;2.98;1.58
VT0818;19/04/2025;P021;V009;2;2.03;1.10
VT0819;01/01/2024;P028;V037;2;28.98;17.18
VT0820;06/03/2025;P022;V024;2;3.03;1.54
VT0821;28/03/2024;P020;V032;21;1.24;0.63
VT0822;13/06/2023;P015;V027;29;3.07;1.93
VT0823;25/01/2025;P026;V047;2;1.72;0.74
VT0824;25/05/2023;P027;V007;4;1.53;0.60
VT0825;18/04/2024;P018;V041;19;1.47;0.71
VT0826;02/01/2024;P018;V037;21;1.52;0.74
VT0827;03/01/2025;P022;V012;6;3.04;1.53
VT0828;31/01/2026;P013;V029;20;1.89;0.82
VT0829;22/12/2024;P029;V027;12;26.37;13.96
VT0830;31/05/2025;P027;V025;7;1.46;0.64
VT0831;31/01/2026;P030;V001;13;85.34;58.39
VT0832;12/03/2023;P010;V001;10;1.64;0.94
VT0833;07/09/2024;P008;V018;23;1.30;0.69
VT0834;07/02/2026;P017;V030;2;3.05;1.55
VT0835;29/12/2024;P005;V017;8;1.26;0.73
VT0836;07/09/2024;P003;V047;3;1.04;0.62
VT0837;26/10/2024;P026;V037;23;1.64;0.72
VT0838;15/07/2023;P020;V006;13;1.24;0.63
VT0839;25/04/2023;P030;V008;14;85.19;58.61
VT0840;09/04/2024;P024;V041;25;3.58;3.98
VT0841;22/02/2025;P002;V021;5;1.20;0.80
VT0842;25/10/2025;P023;V029;13;7.18;4.42
VT0843;03/05/2026;P019;V010;13;0.74;0.26
VT0844;28/09/2023;P011;V017;13;0.43;0.48
VT0845;24/06/2023;P013;V031;5;1.92;0.82
VT0846;19/02/2026;P007;V048;20;1.47;0.87
VT0847;09/12/2025;P008;V037;22;1.29;0.69
VT0848;03/07/2023;P004;V023;11;4.26;2.63
VT0849;01/05/2026;P021;V029;20;2.09;1.05
VT0850;26/10/2023;P015;V010;12;3.43;1.72
VT0851;25/06/2023;P004;V019;5;4.14;2.65
VT0852;29/01/2023;P011;V022;1;1.16;0.53
VT0853;04/03/2024;P024;V036;9;6.37;3.92
VT0854;16/09/2025;P020;V025;1;1.26;0.64
VT0855;08/04/2026;P029;V013;10;22.96;14.69
VT0856;09/07/2024;P002;V018;22;1.36;0.82
VT0857;07/01/2025;P028;V015;13;29.82;17.39
VT0858;18/02/2025;P017;V039;28;2.70;1.64
VT0859;24/12/2025;P003;V046;30;1.03;0.59
VT0860;14/02/2023;P002;V048;13;1.29;0.79
VT0861;18/11/2023;P001;V033;8;1.10;0.70
VT0862;18/07/2024;P026;V002;27;1.58;0.67
VT0863;10/02/2026;P009;V006;5;3.60;2.16
VT0864;21/02/2025;P017;V027;8;2.92;1.64
VT0865;07/05/2024;P019;V029;11;0.82;0.24
VT0866;15/01/2026;P005;V013;26;1.21;0.74
VT0867;10/10/2023;P010;V050;14;1.74;0.95
VT0868;25/10/2023;P021;V035;18;2.28;1.20
VT0869;31/08/2023;P006;V021;25;1.62;0.90
VT0870;27/04/2025;P014;V048;21;1.17;0.45
VT0871;14/07/2024;P005;V040;25;1.21;0.80
VT0872;30/06/2024;P020;V002;22;1.28;0.62
VT0873;05/01/2025;P003;V031;20;1.02;0.63
VT0874;04/02/2025;P006;V015;7;1.54;0.97
VT0875;08/03/2023;P014;V015;14;1.05;0.48
VT0876;20/02/2024;P025;V040;15;7.03;4.12
VT0877;30/09/2025;P023;V050;13;7.64;4.49
VT0878;27/03/2023;P020;V048;20;1.31;0.64
VT0879;17/03/2026;P020;V034;2;1.36;0.62
VT0880;12/08/2023;P015;V034;8;3.46;1.83
VT0881;06/01/2026;P013;V041;25;1.72;0.88
VT0882;11/04/2023;P007;V019;27;1.41;0.84
VT0883;02/08/2025;P006;V010;17;1.56;0.91
VT0884;07/08/2025;P027;V050;6;1.35;0.63
VT0885;13/04/2026;P029;V002;15;23.29;14.76
VT0886;02/01/2024;P015;V006;15;3.38;1.87
VT0887;27/05/2024;P011;V047;23;1.30;0.53
VT0888;11/09/2023;P003;V046;17;1.02;0.58
VT0889;25/02/2025;P024;V036;13;6.67;4.06
VT0890;18/02/2025;P002;V010;22;1.36;0.85
VT0891;29/11/2023;P028;V020;10;31.96;17.49
VT0892;02/07/2025;P010;V001;7;1.55;0.94
VT0893;02/06/2024;P001;V039;1;1.19;0.71
VT0894;07/10/2025;P008;V006;15;1.36;0.69
VT0895;16/05/2026;P020;V036;21;1.41;0.57
VT0896;01/03/2024;P002;V003;5;1.20;0.78
VT0897;29/03/2026;P027;V027;4;1.40;0.62
VT0898;01/01/2024;P006;V037;20;1.56;0.95
VT0899;25/02/2026;P006;V006;2;1.59;0.99
VT0900;04/09/2024;P011;V036;14;1.21;0.50
VT0901;13/05/2023;P010;V034;11;1.55;0.92
VT0902;27/04/2025;P017;V047;19;2.75;1.47
VT0903;19/12/2025;P003;V019;23;1.05;0.61
VT0904;24/05/2025;P020;V023;20;1.29;0.65
VT0905;23/09/2023;P020;V012;16;1.34;0.62
VT0906;02/06/2026;P008;V030;1;0.67;0.74
VT0907;30/08/2023;P024;V003;14;6.95;4.09
VT0908;14/11/2024;P012;V045;7;0.37;0.41
VT0909;30/07/2024;P009;V050;11;3.59;2.35
VT0910;13/01/2023;P004;V002;20;4.21;2.63
VT0911;26/12/2023;P007;V031;30;1.40;0.85
VT0912;14/03/2023;P021;V035;28;2.04;1.07
VT0913;17/11/2024;P015;V034;27;3.24;1.92
VT0914;05/09/2024;P019;V037;7;0.75;0.26
VT0915;10/11/2024;P026;V018;5;1.71;0.76
VT0916;05/03/2023;P011;V039;19;1.25;0.55
VT0917;08/03/2025;P006;V021;23;1.62;0.94
VT0918;06/03/2023;P009;V020;15;3.69;2.23
VT0919;18/03/2024;P017;V013;25;2.71;1.49
VT0920;09/07/2023;P015;V013;5;3.42;1.85
VT0921;27/11/2024;P030;V010;11;91.89;56.24
VT0922;21/07/2023;P027;V047;7;1.44;0.66
VT0923;16/03/2023;P015;V003;10;3.46;1.81
VT0924;02/05/2026;P028;V050;17;15.61;17.34
VT0925;01/10/2024;P001;V013;11;1.10;0.73
VT0926;30/01/2024;P010;V018;4;1.60;0.89
VT0927;02/11/2023;P006;V007;17;1.43;0.89
VT0928;28/02/2024;P018;V019;23;1.50;0.70
VT0929;21/03/2026;P008;V029;18;1.30;0.68
VT0930;14/04/2023;P005;V004;13;1.36;0.72
VT0931;26/06/2023;P014;V045;21;1.16;0.45
VT0932;02/07/2025;P020;V043;25;1.30;0.60
VT0933;28/12/2025;P003;V006;5;1.06;0.66
VT0934;17/08/2025;P004;V031;15;4.42;2.55
VT0935;19/04/2024;P008;V026;12;1.41;0.68
VT0936;11/01/2024;P023;V030;11;7.50;4.89
VT0937;25/09/2025;P001;V011;28;1.06;0.67
VT0938;01/08/2024;P025;V046;13;7.46;4.21
VT0939;08/08/2023;P011;V026;15;1.15;0.52
VT0940;24/04/2026;P014;V025;16;1.09;0.44
VT0941;16/05/2023;P011;V037;14;1.26;0.49
VT0942;01/12/2024;P018;V046;24;1.46;0.74
VT0943;21/03/2026;P027;V007;18;1.45;0.61
VT0944;30/06/2025;P006;V039;22;1.52;0.90
VT0945;15/02/2025;P011;V009;27;1.26;0.51
VT0946;04/04/2026;P029;V010;22;25.72;14.89
VT0947;16/07/2025;P018;V044;7;1.56;0.70
VT0948;10/10/2024;P010;V028;30;1.74;0.93
VT0949;06/12/2024;P003;V009;28;1.04;0.62
VT0950;25/08/2024;P002;V036;23;1.29;0.80
VT0951;05/01/2025;P004;V038;23;4.54;2.70
VT0952;18/03/2025;P021;V014;18;2.12;1.10
VT0953;22/12/2023;P016;V027;12;1.96;0.87
VT0954;12/11/2023;P010;V042;3;1.68;0.99
VT0955;02/02/2023;P005;V006;5;1.28;0.79
VT0956;09/10/2023;P021;V039;23;2.27;1.18
VT0957;21/05/2025;P020;V025;15;1.33;0.59
VT0958;28/12/2024;P008;V047;28;1.35;0.68
VT0959;29/04/2024;P023;V003;12;7.59;4.61
VT0960;19/03/2023;P019;V006;23;0.75;0.26
VT0961;18/10/2023;P024;V018;25;7.13;4.03
VT0962;10/08/2025;P017;V041;16;3.03;1.44
VT0963;09/06/2023;P022;V022;2;3.10;1.57
VT0964;31/12/2025;P025;V047;19;7.33;4.00
VT0965;09/11/2024;P014;V003;6;1.21;0.45
VT0966;08/05/2026;P024;V031;21;6.94;3.78
VT0967;30/03/2026;P006;V040;24;1.57;0.93
VT0968;25/02/2023;P010;V018;26;1.55;0.92
VT0969;31/05/2024;P005;V008;24;1.24;0.78
VT0970;21/05/2026;P006;V012;12;1.59;0.98
VT0971;19/06/2024;P026;V003;28;1.64;0.74
VT0972;03/12/2024;P003;V032;27;1.04;0.66
VT0973;25/04/2025;P025;V014;6;7.55;4.23
VT0974;29/03/2026;P024;V008;27;6.23;4.09
VT0975;18/04/2023;P006;V035;25;1.53;0.92
VT0976;23/04/2024;P013;V028;17;1.82;0.84
VT0977;25/01/2023;P010;V044;17;1.63;0.98
VT0978;26/03/2023;P004;V040;14;4.39;2.72
VT0979;12/07/2024;P011;V026;19;1.28;0.50
VT0980;02/08/2025;P025;V013;25;7.10;4.42
VT0981;30/11/2025;P011;V044;1;1.32;0.53
VT0982;18/01/2023;P027;V029;22;1.42;0.58
VT0983;20/12/2024;P008;V006;20;0.67;0.74
VT0984;27/04/2023;P020;V008;21;1.40;0.63
VT0985;03/09/2023;P003;V042;29;0.97;0.65
VT0986;05/03/2026;P026;V019;9;1.74;0.77
VT0987;14/08/2025;P022;V050;9;3.03;1.64
VT0988;24/05/2025;P023;V050;6;7.99;4.88
VT0989;01/06/2023;P009;V017;2;3.63;2.35
VT0990;26/06/2024;P006;V026;20;1.54;0.91
VT0991;01/01/2024;P021;V040;7;2.04;1.13
VT0992;06/08/2023;P030;V037;3;50.30;55.89
VT0993;28/05/2024;P025;V001;21;7.81;4.27
VT0994;19/03/2023;P022;V037;13;2.82;1.51
